link,description,date,title,location,price,location2
https://norwich.craigslist.co.uk/apa/d/sex-flat-gorleston-on-sea/6525294378.html,"Complete flat for escort, sex meets, affairs, etc, I am in the adult industry so not easily shocked.  Price by negotiation, hourly/daily etc..T.BA.",31/03/2018,Sex flat Gorleston on sea,Gorleston-On-Sea,10,Gorleston-On-Sea
https://brighton.craigslist.co.uk/roo/d/free-room-tonight/6530662860.html,I'm happy to host a woman here - just conscience that someone needs a room.  No sex expected at all.,14/03/2018,Free room tonight,Brighton,NA,Brighton
https://london.craigslist.co.uk/roo/d/female-for-subsidised-flat/6555152804.html,"Room in flat offered to a non smoking , clean , tidy ,intelligent and respectful woman. Close to all amenities  ,modern , warm and comfortable.  Flat shared with 40`s guy / Owner.  Central London just 30 minutes away by train.  Not looking for rent , but some alternatives considered .",10/04/2018,Female for subsidised flat share wanted .,Hatfield,NA,London
https://bristol.craigslist.co.uk/roo/d/on-weekly-basis-free-to-female/6556281757.html,"Nice single warm attic room, fully furnished (and all linen) in a clean smart designer flat in quiet part of town with Wi-Fi, Netflix etc. Dinner and breakfast served too. Available for a week at a time to any woman that requires a short term place to stay for a break, or just to get your washing done. We can agree a minimal price or just help me out. Bathroom and kitchen shared with myself, professional handsome older guy. Your pic gets further details. Genuine ad.",09/04/2018,"B & B on weekly basis, free to a female",Swindon,NA,Swindon
https://london.craigslist.co.uk/roo/d/seeking-mature-house-helper/6555669113.html,"Seeking Single reliable Caring trustworthy honest caring mature female helper for light house chores as well shopping etc for exchange in Free rent house share in West London Zone 6 Person must be open clean great sense of humor talented as well a person who is house proud in matters if that you are this person and capable to do light chores and help with shopping and can aid support then please get back to myself with more information of one self with a photograph of introduction thank you for mine in return this is a genuine ad and respect others too to be genuine too ,....hope to hear from you soon regarding this matter .  Regards",09/04/2018,Seeking Mature House Helper / Carer Female for exchange of free rent,Uxbridge,NA,London
https://birmingham.craigslist.co.uk/roo/d/room-available-for-female/6530070205.html,"I have a room available in my 2 bed flat, available to females only, rent negotiable or maybe come to an arrangement.  Time wasters need not bother applying. If you are genuinely interested then get in touch.  I have KIK too, username is BIGRob1979UKX",31/03/2018,Room available for female,Eccleshall,NA,Eccleshall
https://manchester.craigslist.co.uk/sha/d/female-massage-therapsit/6511975096.html,"Hi girls,  Do you want to make lots of money and have some fun???  Im looking to use/rent some space to massage from  OR  find another independant and work with them from their property in return for money or setting them up wirth work as I'm very good at the business side of massaging/working and can help you make lots of money.  I've recently moved house and don't feel comfortable working from here because of my housemate.  Im very open minded and friendly so if you're interested let me know. Its loads of fun doing this work, very well paid and much safer working with a friend!!!  I just need enough space to put up a massage table and make it look nice and welcoming!  I am looking for space to work from, but more so another girl to work with who wants to have fun and make some serious money!!  Get back to me on 0-7-3-9-1-8-4-8-0-1-9  PLEASE ONLY RESPOND IF YOU ARE ABLE TO WORK FROM HOME AND LIVE IN OR VERY CLOSE TO MANCHESTER  MALES, no I don't want to use your space in return for massage, I'll give you <U+613C><U+3E33>25 per day or 10% of what I make  XXX",27/03/2018,Female Massage therapsit needs room to work from,Manchester,NA,Manchester
https://london.craigslist.co.uk/roo/d/free-room-for-female/6540016305.html,"I have a spare room for a female to stay for rent free, but must be willing to earn your keep by helping out with things like Cleaning and Shopping runs. Maybe cooking etc. i'm looking for someone who is a clean tidy person most important I can get on with. If you are serious contact me only please:",26/03/2018,Free room for female,N London,NA,London
https://london.craigslist.co.uk/roo/d/one-week-only-shared-room-for/6541969627.html,"From now until the morning of 31st March.   A shared room is available for a Female who needs to it for a very short while.   You will be sharing with myself, I am a young black male, easygoing and trustworthy.   There is no payment required, just companionship and housekeeping duties.",24/03/2018,One Week Only shared room for Female,Hackney,NA,London
https://london.craigslist.co.uk/vac/d/free-room-for-female/6541030301.html,"I have a nice spare room for a female to stay for rent free for long term, willing to help with cleaning and shopping, maybe sometimes help with cooking. If you are female, clean tidy, over 18 and under 30, you are welcome.",23/03/2018,Free room for female,East Central London,NA,London
